============================================================
  PARCL INTELLIGENCE — Batch Permit Geocoder
============================================================
  Loaded 13,765 cached geocodes
  Total permits in DB:  125,795
  Scope:                125,795 (all towns)
  Geocode cache:        13,765 entries

  Resuming from offset 20
  Phase 1: Scanning permits and extracting addresses...
    Scanned 10,000 permits, found 6,688 unique addresses...
    Scanned 20,000 permits, found 9,672 unique addresses...
    Scanned 30,000 permits, found 11,538 unique addresses...
    Scanned 40,000 permits, found 13,736 unique addresses...
    Scanned 50,000 permits, found 15,423 unique addresses...
    Scanned 60,000 permits, found 16,677 unique addresses...
    Scanned 70,000 permits, found 21,481 unique addresses...
    Scanned 80,000 permits, found 24,104 unique addresses...
    Scanned 90,000 permits, found 25,785 unique addresses...
    Scanned 100,000 permits, found 26,986 unique addresses...
    Scanned 110,000 permits, found 28,748 unique addresses...
    Scanned 120,000 permits, found 30,149 unique addresses...

  Found 30,797 unique addresses across 125,763 permits
  Permits without extractable address: 32

  Phase 2: Geocoding 30,797 unique addresses...
  (Cached addresses are instant, new ones take ~1 sec each)
    Geocoded 100/30,797 (0.3%) | 0.6 addr/sec | API: 83 | Cache: 17 | Success: 75
    Geocoded 200/30,797 (0.6%) | 0.6 addr/sec | API: 183 | Cache: 17 | Success: 150
    Geocoded 300/30,797 (1.0%) | 0.6 addr/sec | API: 283 | Cache: 17 | Success: 224
    Geocoded 400/30,797 (1.3%) | 0.6 addr/sec | API: 383 | Cache: 17 | Success: 299
    Geocoded 500/30,797 (1.6%) | 0.6 addr/sec | API: 483 | Cache: 17 | Success: 369
    Geocoded 600/30,797 (1.9%) | 0.5 addr/sec | API: 583 | Cache: 17 | Success: 446
    Geocoded 700/30,797 (2.3%) | 0.5 addr/sec | API: 683 | Cache: 17 | Success: 516
    Geocoded 800/30,797 (2.6%) | 0.5 addr/sec | API: 783 | Cache: 17 | Success: 588
    Geocoded 900/30,797 (2.9%) | 0.5 addr/sec | API: 883 | Cache: 17 | Success: 661
    Geocoded 1,000/30,797 (3.2%) | 0.5 addr/sec | API: 983 | Cache: 17 | Success: 730
    Geocoded 1,100/30,797 (3.6%) | 0.5 addr/sec | API: 1083 | Cache: 17 | Success: 803
    Geocoded 1,200/30,797 (3.9%) | 0.5 addr/sec | API: 1183 | Cache: 17 | Success: 866
    Geocoded 1,300/30,797 (4.2%) | 0.5 addr/sec | API: 1283 | Cache: 17 | Success: 934
    Geocoded 1,400/30,797 (4.5%) | 0.5 addr/sec | API: 1383 | Cache: 17 | Success: 1,002
    Geocoded 1,500/30,797 (4.9%) | 0.5 addr/sec | API: 1483 | Cache: 17 | Success: 1,066
    Geocoded 1,600/30,797 (5.2%) | 0.5 addr/sec | API: 1583 | Cache: 17 | Success: 1,132
    Geocoded 1,700/30,797 (5.5%) | 0.5 addr/sec | API: 1683 | Cache: 17 | Success: 1,209
    Geocoded 1,800/30,797 (5.8%) | 0.5 addr/sec | API: 1783 | Cache: 17 | Success: 1,277
    Geocoded 1,900/30,797 (6.2%) | 0.5 addr/sec | API: 1883 | Cache: 17 | Success: 1,347
    Geocoded 2,000/30,797 (6.5%) | 0.5 addr/sec | API: 1983 | Cache: 17 | Success: 1,412
    Geocoded 2,100/30,797 (6.8%) | 0.5 addr/sec | API: 2083 | Cache: 17 | Success: 1,471
    Geocoded 2,200/30,797 (7.1%) | 0.5 addr/sec | API: 2183 | Cache: 17 | Success: 1,530
    Geocoded 2,300/30,797 (7.5%) | 0.5 addr/sec | API: 2283 | Cache: 17 | Success: 1,593
    Geocoded 2,400/30,797 (7.8%) | 0.5 addr/sec | API: 2383 | Cache: 17 | Success: 1,651
    Geocoded 2,500/30,797 (8.1%) | 0.5 addr/sec | API: 2483 | Cache: 17 | Success: 1,723
    Geocoded 2,600/30,797 (8.4%) | 0.5 addr/sec | API: 2583 | Cache: 17 | Success: 1,787
    Geocoded 2,700/30,797 (8.8%) | 0.5 addr/sec | API: 2683 | Cache: 17 | Success: 1,846
    Geocoded 2,800/30,797 (9.1%) | 0.5 addr/sec | API: 2783 | Cache: 17 | Success: 1,909
    Geocoded 2,900/30,797 (9.4%) | 0.5 addr/sec | API: 2883 | Cache: 17 | Success: 1,969
    Geocoded 3,000/30,797 (9.7%) | 0.5 addr/sec | API: 2983 | Cache: 17 | Success: 2,037
    Geocoded 3,100/30,797 (10.1%) | 0.5 addr/sec | API: 3083 | Cache: 17 | Success: 2,106
    Geocoded 3,200/30,797 (10.4%) | 0.5 addr/sec | API: 3183 | Cache: 17 | Success: 2,173
    Geocoded 3,300/30,797 (10.7%) | 0.5 addr/sec | API: 3283 | Cache: 17 | Success: 2,235
    Geocoded 3,400/30,797 (11.0%) | 0.5 addr/sec | API: 3383 | Cache: 17 | Success: 2,302
    Geocoded 3,500/30,797 (11.4%) | 0.5 addr/sec | API: 3483 | Cache: 17 | Success: 2,367
    Geocoded 3,600/30,797 (11.7%) | 0.5 addr/sec | API: 3583 | Cache: 17 | Success: 2,422
    Geocoded 3,700/30,797 (12.0%) | 0.5 addr/sec | API: 3683 | Cache: 17 | Success: 2,480
